provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Heredia;2020;2;Febrero;7.6;0.26;2.7;10
Heredia;2020;3;Marzo;3.4;0.11;1.4;7
Heredia;2020;4;Abril;47.6;1.59;14.1;22
Heredia;2020;5;Mayo;200.6;6.47;36.2;29
Heredia;2020;6;Junio;355.8;11.86;59.2;30
Heredia;2020;7;Julio;139.9;4.51;28.4;27
Heredia;2020;8;Agosto;538.9;17.38;82.6;31
Heredia;2020;9;Setiembre;403.4;13.45;95.2;30
Heredia;2020;10;Octubre;598.6;19.31;61.6;30
Heredia;2020;11;Noviembre;592.7;19.76;106.0;30
Heredia;2020;12;Diciembre;112.9;3.64;59.7;21
Heredia;2021;1;Enero;53.7;1.73;41.1;11
Heredia;2021;2;Febrero;17.5;0.62;2.7;16
Heredia;2021;3;Marzo;47.7;1.54;22.0;14
Heredia;2021;4;Abril;168.2;5.61;35.8;24
Heredia;2021;5;Mayo;249.2;8.04;52.3;29
Heredia;2021;6;Junio;199.9;6.66;28.8;30
Heredia;2021;7;Julio;351.2;11.33;129.1;26
Heredia;2021;8;Agosto;477.8;15.41;78.8;29
Heredia;2021;9;Setiembre;286.8;9.56;51.9;30
Heredia;2021;10;Octubre;385.0;12.42;74.0;31
Heredia;2021;11;Noviembre;95.0;3.17;24.6;26
Heredia;2021;12;Diciembre;18.6;0.6;4.4;21
Heredia;2022;1;Enero;6.0;0.19;1.5;11
Heredia;2022;2;Febrero;5.1;0.18;2.5;7
Heredia;2022;3;Marzo;10.7;0.35;1.8;18
Heredia;2022;4;Abril;155.5;5.18;28.3;28
Heredia;2022;5;Mayo;378.4;12.21;77.0;30
Heredia;2022;6;Junio;477.3;15.91;44.1;30
Heredia;2022;7;Julio;170.0;5.48;41.6;29
Heredia;2022;8;Agosto;264.7;8.54;21.4;30
Heredia;2022;9;Setiembre;483.6;16.12;72.9;30
Heredia;2022;10;Octubre;347.5;11.21;72.9;31
Heredia;2022;11;Noviembre;313.5;10.45;71.6;30
Heredia;2022;12;Diciembre;7.4;0.24;1.8;17
Heredia;2023;1;Enero;16.6;0.54;3.0;20
Heredia;2023;2;Febrero;1.6;0.06;0.4;8
Heredia;2023;3;Marzo;91.1;2.94;21.4;17
Heredia;2023;4;Abril;42.4;1.41;10.9;13
Heredia;2023;5;Mayo;237.4;7.66;101.6;24
Heredia;2023;6;Junio;235.9;7.86;31.9;28
Heredia;2023;7;Julio;191.2;6.17;52.0;27
Heredia;2023;8;Agosto;236.4;7.63;48.0;28
